method,mse,rmse,mae,wape,smape,exec,norm_cost,valid_rows,matched_rows,selector_backend
oracle_reference_diagnostic,7.0457500389629395,2.654383174856814,2.0496086952651744,0.38661134889705273,0.6722074892402383,1.0,0.9,408,408,
fforma_style_weighting,9.03098866802569,3.0051603398197724,2.287107820793685,0.4314100743779516,0.709208322617981,10.0,17.0,408,408,
best_single_expert,9.209172719222167,3.034661878895599,2.4284885808981587,0.458078289876037,0.7309144432435823,1.0,0.6,408,408,
croston_tsb,9.209172719222167,3.034661878895599,2.4284885808981587,0.458078289876037,0.7309144432435823,1.0,0.6,408,408,
uniform_ensemble,9.210776154825961,3.034926054259965,2.4661430411645355,0.46518093425357315,0.7078478549598063,10.0,17.0,408,408,
rule_based_usff,9.49715005946867,3.081744645402774,2.4689502435678907,0.46571044816044493,0.7461024089147077,1.0,0.9250000000000002,408,408,
prophet,9.568843704430158,3.0933547653688476,2.267968294604688,0.4277998447500854,0.7314826617913295,1.0,1.0,408,408,
dense_soft_moe,9.589918738362103,3.0967593930368733,2.308834684007005,0.4355083453862704,0.7101743404567614,10.0,17.0,408,408,
fame_top2,9.767325212706965,3.1252720221937427,2.3265826857359544,0.43885609605912196,0.7077233401525146,1.875,1.625,408,408,
xgboost,9.79642718234055,3.1299244691111237,2.549815525319062,0.48096381614672573,0.7453656581372401,1.0,1.1,408,408,
lightgbm,10.11889264613003,3.1810206925026487,2.448769476977016,0.4619038125760534,0.8160761090014235,1.0,1.0,408,408,
automl_selector,10.11889264613003,3.1810206925026487,2.448769476977016,0.4619038125760534,0.8160761090014235,1.0,1.0,408,408,lightgbm_classifier
cluster_then_forecast,10.19280293903712,3.192616942108326,2.4355265205248213,0.45940583465997836,0.6991062996599907,1.0,0.8833333333333334,408,408,
ets,10.263631243676368,3.2036902540158856,2.362190574434483,0.44557270197171217,0.6857902949088228,1.0,0.8,408,408,
fame_top1,10.512409208358733,3.2422845662215916,2.3594606132714264,0.44505775784109636,0.7167385649116762,1.0,0.9,408,408,
stacking_ensemble,10.642206550319338,3.262239499227385,2.4724650696095676,0.46637343892558475,0.6914973040953513,10.0,17.0,408,408,
fame_costaware,10.6423226149067,3.2622572882755123,2.4631321140094284,0.46461299237688425,0.765929175183462,2.0,2.3541666666666665,408,408,
sarima,10.974950750159756,3.3128463215428146,2.532658754180252,0.4777275874714589,0.7550692809391902,1.0,1.2,408,408,
linear,12.568755965016539,3.5452441333449154,2.7650109149081454,0.5215554569012056,0.6935821626710835,1.0,0.6,408,408,
dlinear,16.03799253364148,4.004746250843052,3.4315380606265493,0.647280410878021,0.851226651106526,1.0,3.0,408,408,
timesnet,16.03799253364148,4.004746250843052,3.4315380606265493,0.647280410878021,0.851226651106526,1.0,4.1,408,408,
timemixer,16.03799253364148,4.004746250843052,3.4315380606265493,0.647280410878021,0.851226651106526,1.0,3.6,408,408,
