vem_id,merc_id,ets,croston_tsb,linear,lightgbm,dlinear
VEM0001,MERC00001,0.9999999999759674,2.2920677850464065e-12,1.00828994918804e-11,1.1657524110598234e-11,9.673330735585485e-44
VEM0001,MERC00002,3.4390246527317085e-13,0.11541156999182445,0.47345542329138385,0.41113300671644587,1.951394822478321e-15
VEM0001,MERC00003,0.9979669367841625,3.6180914526567013e-06,0.000856945493774289,0.0011724996306106041,2.176956740855301e-19
VEM0001,MERC00004,0.9682004748263268,4.3943047247805856e-05,0.016853287615774124,0.01490229451065117,1.4694530815285715e-32
VEM0001,MERC00005,2.788224873764024e-10,2.159146391726242e-07,0.39873384388741895,0.6012659399191034,1.5953216195797832e-14
VEM0001,MERC00006,1.4395777800716581e-12,1.1534719915679189e-08,0.4834898385307319,0.515559870735004,0.0009502791981046214
VEM0002,MERC00001,1.2409597566603034e-37,0.9999999999934079,1.4690269410938076e-12,5.12297589870425e-12,1.9396581221640514e-32
VEM0002,MERC00002,1.6364522938367468e-10,6.887829274302387e-08,0.0022921830197297245,0.003001330982720445,0.994706416955612
VEM0002,MERC00003,0.7020430995275719,0.23100164206482254,0.02479773198510215,0.042154344070132604,3.182352370761297e-06
VEM0002,MERC00004,0.983479129321277,0.01651451398996324,5.802550638511396e-06,5.541381211478308e-07,9.342582183495952e-47
VEM0002,MERC00005,0.9986307552358293,1.4647014339592938e-13,0.0007987980523005365,0.0005704467117237033,1.9665806055008323e-44
VEM0002,MERC00006,3.5484705133010825e-09,0.9962083854504049,0.0014597999473954354,0.002331811053729326,2.2049986535930636e-40
VEM0003,MERC00001,2.7982891276829863e-66,8.100476632487244e-21,0.3688434991262728,0.6311562521000286,2.4877369879612456e-07
VEM0003,MERC00002,0.9875271131679403,0.0022101194961589303,0.006568494310698142,0.0036942730252028932,1.8713267410471596e-41
VEM0003,MERC00003,0.999999999997226,2.873777984746901e-16,2.2723166952615834e-12,5.014643615227597e-13,1.3423906541105587e-20
VEM0003,MERC00004,1.1439400679339771e-60,1.590602322483694e-09,0.6382917866131287,0.3617079339690628,2.7782720625011646e-07
VEM0003,MERC00005,4.754442491097382e-09,0.9996181872158414,0.00014215517056854592,0.0002396527992226946,5.992487778115985e-11
VEM0003,MERC00006,5.354254567180917e-06,0.9992337262592533,0.00039102977516785686,0.00036988964648147164,6.4530109689787e-11
VEM0004,MERC00001,4.092440765706471e-13,4.042670685716761e-16,0.2559521353195805,0.7440478646800098,4.69989566985832e-19
VEM0004,MERC00002,0.00024560848143049754,0.011335988135459196,0.8722982379404243,0.11612016542092217,2.1763786930456903e-11
VEM0004,MERC00003,3.0186095298591225e-26,0.9999999999999996,1.4655539835019437e-16,2.4262435618760124e-16,2.547707824843441e-31
VEM0004,MERC00004,3.481226166930432e-13,0.00010998434074786295,0.5530703927217234,0.4465711125680203,0.00024851036916034245
VEM0004,MERC00005,0.9367201512490231,8.398487834662102e-10,0.0419971743834772,0.021282673527650984,2.9271818243535604e-26
VEM0004,MERC00006,2.4804329083228125e-07,0.8083699033950031,0.1247908477931046,0.0668390007686015,6.629381900195495e-65
